image,cell_id,prob_dead,borderline_ghost,stage1_prediction,final_prediction,morph_confidence,prob_Crenated,prob_Healthy,prob_Stressed,review_flag,review_reason
Data_for_model/images/Control2_15_hrs_PE_1.tif,41,2.0862743210781076e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,42,3.837295313968703e-05,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,43,1.1529097667661858e-06,False,NotDead,Healthy,0.99,0.0,0.99,0.01,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,44,3.6231441802314635e-07,False,NotDead,Healthy,0.9866666666666667,0.0,0.9866666666666667,0.013333333333333334,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,46,2.0154864147636786e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,47,2.04622465260762e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,49,2.064133196477691e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,50,0.9695347202999954,False,Dead,Dead,,,,,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,51,3.58739414085818e-06,False,NotDead,Healthy,0.9833333333333333,0.0,0.9833333333333333,0.016666666666666666,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,52,2.2263568215663554e-06,False,NotDead,Healthy,0.9466666666666667,0.0033333333333333335,0.9466666666666667,0.05,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,53,3.407555688728081e-07,False,NotDead,Healthy,0.8366666666666667,0.013333333333333334,0.8366666666666667,0.15,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,55,1.86689517833738e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,56,5.985452610213216e-07,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,57,0.00014609653378805376,False,NotDead,Healthy,0.99,0.006666666666666667,0.99,0.0033333333333333335,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,59,1.0871680408475193e-05,False,NotDead,Healthy,0.99,0.0,0.99,0.01,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,60,0.7899421156383883,True,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,61,5.585235455907167e-06,False,NotDead,Healthy,0.99,0.0,0.99,0.01,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,62,0.011479054963021817,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,64,7.306249052430047e-07,False,NotDead,Healthy,0.6033333333333334,0.08,0.6033333333333334,0.31666666666666665,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,71,0.9999991384077734,False,Dead,Dead,,,,,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,75,0.9999987530395422,False,Dead,Dead,,,,,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,78,0.9999989310011039,False,Dead,Dead,,,,,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,1,6.0254456361041875e-06,False,NotDead,Healthy,0.9166666666666666,0.0033333333333333335,0.9166666666666666,0.08,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,2,3.131008042833727e-07,False,NotDead,Healthy,0.99,0.006666666666666667,0.99,0.0033333333333333335,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,3,6.336625043568134e-07,False,NotDead,Healthy,0.7533333333333333,0.016666666666666666,0.7533333333333333,0.23,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,5,2.0934087480162233e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,7,1.028494772015165e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,10,6.359194477667529e-07,False,NotDead,Healthy,0.9633333333333334,0.01,0.9633333333333334,0.02666666666666667,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,11,1.0796834288839818e-06,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,15,6.691981435658079e-07,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,16,6.051269563212003e-07,False,NotDead,Stressed,0.49,0.18333333333333332,0.32666666666666666,0.49,True,uncertain_morphology; 
Data_for_model/images/Control2_15_hrs_PE_2.tif,18,6.576518789547237e-07,False,NotDead,Healthy,0.9733333333333334,0.0,0.9733333333333334,0.02666666666666667,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,20,1.0369178274904911e-06,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,21,7.816339632205072e-07,False,NotDead,Healthy,0.9133333333333333,0.013333333333333334,0.9133333333333333,0.07333333333333333,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,22,3.577049378100661e-05,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,23,6.439839900229671e-07,False,NotDead,Healthy,0.8766666666666667,0.016666666666666666,0.8766666666666667,0.10666666666666667,False,
Data_for_model/images/Control2_15_hrs_PE_2.tif,26,6.10236505771411e-07,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
